"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Keg1",4.1122971157995e-41,0.542426824993149,0.934,0.86,1.96979031846796e-38
"Spp1",2.84533977698321e-28,-1.17843471199734,0.098,0.346,6.81458876587479e-26
"Chd9",1.93045197971634e-25,-0.551630153715813,0.718,0.895,3.08228832761376e-23
"Hmgcr",7.142020494853e-22,1.05202331827954,0.27,0.067,8.55256954258647e-20
"Mrps27",4.66354034766307e-21,0.846946149913917,0.524,0.286,4.46767165306122e-19
"Ass1",1.73902907822456e-20,-1.15120356509232,0.257,0.47,1.3883248807826e-18
"Lpl",1.34314056225064e-19,1.05291496074247,0.31,0.107,8.55322969610105e-18
"Gpx3",1.42851435425487e-19,-0.551495486293076,0.595,0.778,8.55322969610105e-18
"Polr3e",2.14837076723035e-18,-0.606671675130404,0.501,0.686,1.1434106638926e-16
"Rgs20",4.81756896709095e-18,0.86480272429674,0.242,0.061,2.30761553523657e-16
"Alpk2",7.07432508740923e-18,0.866249184244121,0.367,0.151,3.08054701533547e-16
"Sgf29",8.64010807740254e-18,0.884303546316662,0.307,0.107,3.44884314089652e-16
"Gclc",2.48673587850161e-17,0.706895801293559,0.645,0.498,9.16266527540208e-16
"Gm5424",4.54480960076978e-17,-0.988172535616346,0.093,0.268,1.55497414197766e-15
"Ddr2",7.96251585571767e-16,0.821700827055251,0.297,0.11,2.54269672992584e-14
