"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Chd9",1.13930604976545e-107,-0.547058798249302,0.852,0.954,3.60020711725882e-105
"Spp1",8.47183695736148e-104,-1.33563191382409,0.107,0.393,1.33855023926311e-101
"Keg1",1.19517960228137e-80,0.64577120594886,0.809,0.73,1.25892251440304e-78
"Itgb6",4.01597403442323e-73,0.939550255591566,0.536,0.275,3.17261948719435e-71
"Lpl",8.75026716690764e-59,1.10951724908043,0.322,0.117,5.53016884948563e-57
"Ass1",9.72526121946437e-42,-0.641251829881148,0.548,0.695,5.1219709089179e-40
"Gpx3",2.03930509261931e-40,-0.304105935774233,0.874,0.955,9.20600584668144e-39
"Nkain2",1.74154809991947e-38,-0.351477380029479,0.813,0.902,6.87911499468189e-37
"Aacs",1.72881365863493e-36,0.825061792667144,0.252,0.098,6.07005684587377e-35
"S100g",5.71103792816317e-36,-0.638541161464785,0.309,0.498,1.80468798529956e-34
"Neat1",1.49233593065654e-35,0.283409169065441,0.95,0.913,4.28707412806788e-34
"Shcbp1l",1.66817486829273e-35,0.737148499777311,0.326,0.156,4.39286048650418e-34
"Polr3e",3.64848613808201e-33,-0.504973820130239,0.455,0.61,8.8686278433378e-32
"Zbtb16",4.06354693822372e-33,-0.702206212713338,0.135,0.283,9.17200594627641e-32
"Gm5424",5.90545837463632e-31,-0.636040447834574,0.236,0.4,1.24408323092338e-29
